"","tribe","six_letter_name_Ronco","mean_total_day","mean_total_night","mean_absolute_total_day","mean_absolute_total_night","mean_freq_day","mean_freq_night","mean_bout_length_day","mean_bout_length_night","mean_longest_bout_day","mean_longest_bout_night","mean_abs_longest_day","mean_abs_longest_night","mean_sfi_day","mean_sfi_night","mean_cons_day","mean_cons_night","mean_max_cons_day","mean_max_cons_night","mean_abs_cons_day","mean_abs_cons_night","mean_y_day","mean_y_night","pref_freq","pref_bout_length","pref_longest_bout","pref_abs_longest","pref_sfi","pref_cons","pref_max_cons","pref_abs_cons","pref_y","dn_pref","overall_total"
"31","Lamprologini","Neocyl",2.93516898148148,1.39702739197531,57156.25,28410,90.8333333333334,95.3791666666667,146.597840621425,47.7305873609461,1736.88333333333,259.884722222222,3630.83333333333,422.916666666667,0.0123598606754726,0.0251710873121393,1.24729394337055,1.11823168053668,15.0518068967338,5.64088190818318,31.956092200464,9.07867002581856,523.31018440765,590.87910668468,90.8333333333334,146.597840621425,1736.88333333333,3630.83333333333,0.0123598606754726,1.24729394337055,15.0518068967338,31.956092200464,523.31018440765,0.355048907508051,4.33219637345679
"32","Lamprologini","Neodev",1.9034436728395,3.37734413580247,38550.25,71620.25,71.0722222222222,112.051388888889,96.2518656652959,113.892792224884,825.552777777778,750.122222222222,1894.25,1478,0.0187215303874013,0.0137204544006903,1.45168707970557,0.973017640400068,10.7143254712905,6.03400146382139,25.3585904126757,12.0875430463219,639.806545582278,672.263136223927,112.051388888889,113.892792224884,750.122222222222,1478,0.0137204544006903,0.973017640400068,6.03400146382139,12.0875430463219,672.263136223927,0.279106170588967,5.28078780864197
"33","Lamprologini","NeofaM",3.25218930041152,6.49342849794239,66970.2222222222,132028.444444444,85.387037037037,99.462962962963,128.268724003417,1008.13514953937,787.298148148149,3801.2037037037,1475.88888888889,6865.33333333333,0.0176223322118564,0.00576646709670082,1.0667269763066,3.09688143526302,6.69422684203864,13.3925889032547,13.3126847595819,25.0418410670889,297.359075771065,627.433964345634,99.462962962963,1008.13514953937,3801.2037037037,6865.33333333333,0.00576646709670082,3.09688143526302,13.3925889032547,25.0418410670889,627.433964345634,0.332584271679352,9.74561779835391
"34","Lamprologini","Neofal",1.96725925925926,2.64198703703704,37954.1666666667,46374.6,81.5444444444445,90.67,68.8631227349454,88.7185381801721,560.583333333334,693.606666666667,1144.66666666667,1359.2,0.0243335382840191,0.0204799375250113,17.4602375456723,0.99728091785708,23.2909153548185,6.83725029035887,39.1249263532601,13.1413499131097,563.366469333194,686.412493867143,90.67,88.7185381801721,693.606666666667,1359.2,0.0204799375250113,0.99728091785708,6.83725029035887,13.1413499131097,686.412493867143,0.146385706990738,4.6092462962963
"35","Lamprologini","Neogra",1.75394528619529,2.41451936026936,37134.9090909091,51607.8181818182,59.239393939394,89.4575757575758,80.0790228039053,90.6376123135718,552.718181818182,732.681818181818,1345.81818181818,1430.45454545455,0.0253977421851552,0.021122425086887,1.65835150824329,1.120590551745,10.576386421783,7.73251195730845,28.0279229550283,16.9762091825273,390.177926162745,388.037899613744,89.4575757575758,90.6376123135718,732.681818181818,1430.45454545455,0.021122425086887,1.120590551745,7.73251195730845,16.9762091825273,388.037899613744,0.158469395832425,4.16846464646465
"36","Lamprologini","Neohel",3.72977513227513,4.42626322751323,80563.1428571429,95607.2857142857,93.8095238095239,136.52380952381,139.424441809644,125.528271327721,1175.2380952381,1145.97619047619,1878.85714285714,2199.42857142857,0.0101474264907467,0.0116513470982024,1.06898248779851,0.779640694616359,8.44684888687259,6.98572729005598,13.3858812711211,13.6837281674239,627.164280858985,634.657006261319,136.52380952381,125.528271327721,1145.97619047619,2199.42857142857,0.0116513470982024,0.779640694616359,6.98572729005598,13.6837281674239,634.657006261319,0.0853953922865276,8.15603835978836
"37","Lamprologini","Neokom",4.72521604938272,5.1210725308642,102064.666666667,110615.166666667,66.4722222222222,77.3333333333333,566.309482028921,354.320277249458,3226.27777777777,3226.69444444444,9125.5,7755.5,0.00779448983268923,0.00637253717362708,2.69972968275425,1.93348411784162,16.3518031828146,17.4778120291588,44.1690165240092,42.6003303580538,665.473641371431,696.394206129244,77.3333333333333,354.320277249458,3226.69444444444,7755.5,0.00637253717362708,1.93348411784162,17.4778120291588,42.6003303580538,696.394206129244,0.0402036237568362,9.84628858024691
"38","Lamprologini","Neolon",0.532095238095238,1.91212433862434,9455.57142857143,38698.2857142857,33.1,97.0809523809524,46.3250344383464,59.9189619586045,223.785714285714,367.957142857143,425.428571428571,632.857142857143,0.0324051497977728,0.0235072736052416,8.15674977714835,1.54520055608356,21.3579800850152,7.70432270634262,48.7908122565805,11.9593941019243,416.082866560149,682.060863225534,97.0809523809524,59.9189619586045,367.957142857143,632.857142857143,0.0235072736052416,1.54520055608356,7.70432270634262,11.9593941019243,682.060863225534,0.564609298474427,2.44421957671958
"39","Lamprologini","Neomar",0.938216269841268,4.46815211640212,17626.1428571429,91202.2857142857,57.7309523809524,115.166666666667,41.5767086255028,158.946944487888,235.857142857143,1619.39047619048,610.428571428571,4370.28571428571,0.0359871616080242,0.0102707092932322,1.34000725823804,0.939338486065136,7.32904507400813,8.30969807687979,19.805190916043,20.4355917900851,542.736529518295,643.291738318686,115.166666666667,158.946944487888,1619.39047619048,4370.28571428571,0.0102707092932322,0.939338486065136,8.30969807687979,20.4355917900851,643.291738318686,0.652921812642816,5.40636838624338
"40","Lamprologini","Neomul",3.38060648148148,1.49076028806584,58425,19203.4444444444,68.7055555555555,36.1925925925926,198.601507090723,131.819547560737,2685.91111111111,825.5,5892.11111111111,2601.77777777778,0.0127211526249352,0.0190950936144552,1.99885877138544,3.50082562879435,21.8032567705761,17.2011145662775,49.6777119374778,51.7959324770647,592.676354374974,690.873916608365,68.7055555555555,198.601507090723,2685.91111111111,5892.11111111111,0.0127211526249352,1.99885877138544,21.8032567705761,49.6777119374778,592.676354374974,0.387949888156595,4.87136676954733
