hmgcl	CLINGEN:C1533587~Hydroxymethylglutaric aciduria
hnf4a	CLINGEN:C3888631~Monogenic diabetes
LOC100693609	CLINGEN:C0268623~Tyrosinemia, Type III
hprt1	CLINGEN:C0023374~Lesch-Nyhan Syndrome
hps1	CLINGEN:C2931875~Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells
hras	CLINGEN:C0028326~Noonan Syndrome
hras	CLINGEN:C0175704~LEOPARD Syndrome
hras	CLINGEN:C0587248~Costello syndrome (disorder)
hras	CLINGEN:C1275081~Cardio-facio-cutaneous syndrome
hras	CLINGEN:C1843181~Noonan syndrome-like disorder with loose anagen hair
hras	CLINGEN:C3501846~Noonan-Like Syndrome With Loose Anagen Hair
hsd17b4	CLINGEN:C0685838~Gonadal dysgenesis XX type deafness
LOC100695146	CLINGEN:C3711374~Nonsyndromic Deafness
ids	CLINGEN:C0026705~Mucopolysaccharidosis II
LOC100699105	CLINGEN:C0040015~Thrombasthenia
itk	CLINGEN:C3552634~LYMPHOPROLIFERATIVE SYNDROME 1
ivd	CLINGEN:C0268575~Isovaleryl-CoA dehydrogenase deficiency
kars	CLINGEN:C3711374~Nonsyndromic Deafness
LOC100693467	CLINGEN:C0428908~Sinus Node Dysfunction (disorder)
LOC100693467	CLINGEN:C1142166~Brugada Syndrome (disorder)
LOC100693467	CLINGEN:C2748542~CARDIAC CONDUCTION DEFECT, NONSPECIFIC (disorder)
LOC100693467	CLINGEN:C4551804~Brugada Syndrome 1
LOC102075990	CLINGEN:C1142166~Brugada Syndrome (disorder)
kcnj8	CLINGEN:C0428908~Sinus Node Dysfunction (disorder)
kcnj8	CLINGEN:C1142166~Brugada Syndrome (disorder)
kcnj8	CLINGEN:C2748542~CARDIAC CONDUCTION DEFECT, NONSPECIFIC (disorder)
kcnj8	CLINGEN:C4551804~Brugada Syndrome 1
LOC100706409	CLINGEN:C3179349~Gastrointestinal Stromal Sarcoma
kras	CLINGEN:C0028326~Noonan Syndrome
kras	CLINGEN:C0175704~LEOPARD Syndrome
